file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,175,css,e711042d,Maya Sissel,2025-10-24,18:52:31,-07:00,2025-10-24T18:52:31-07:00,0,17
style.css,176,css,e711042d,Maya Sissel,2025-10-24,18:52:31,-07:00,2025-10-24T18:52:31-07:00,1,10
style.css,177,css,e711042d,Maya Sissel,2025-10-24,18:52:31,-07:00,2025-10-24T18:52:31-07:00,1,16
style.css,178,css,e711042d,Maya Sissel,2025-10-24,18:52:31,-07:00,2025-10-24T18:52:31-07:00,0,0
style.css,179,css,e711042d,Maya Sissel,2025-10-24,18:52:31,-07:00,2025-10-24T18:52:31-07:00,0,0
style.css,180,css,e711042d,Maya Sissel,2025-10-24,18:52:31,-07:00,2025-10-24T18:52:31-07:00,0,17
style.css,181,css,e711042d,Maya Sissel,2025-10-24,18:52:31,-07:00,2025-10-24T18:52:31-07:00,1,10
style.css,182,css,e711042d,Maya Sissel,2025-10-24,18:52:31,-07:00,2025-10-24T18:52:31-07:00,1,8
style.css,183,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,0
style.css,184,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,0
style.css,185,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,13
style.css,186,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,2,12
style.css,187,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,2,21
style.css,188,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,0
style.css,189,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,0
style.css,190,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,13
style.css,191,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,1,10
style.css,192,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,1,30
style.css,193,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,1,34
style.css,194,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,1,16
style.css,195,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,1,15
style.css,196,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,0
style.css,197,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,0
style.css,198,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,21
style.css,199,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,1,12
style.css,200,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,1,10
style.css,201,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,0
style.css,202,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,0
style.css,203,css,ac09e0ec,Maya Sissel,2025-11-01,19:08:34,-07:00,2025-11-01T19:08:34-07:00,0,13
style.css,204,css,c5708f00,Maya Sissel,2025-10-30,19:22:25,-07:00,2025-10-30T19:22:25-07:00,0,14
style.css,205,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,2,10
style.css,206,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,2,14
style.css,207,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,2,13
style.css,208,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,2,16
style.css,209,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,2,13
style.css,210,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,2,21
style.css,211,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,2,18
style.css,212,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,2,16
style.css,213,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,0,0
style.css,214,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,0,0
style.css,215,css,96587a5a,Maya Sissel,2025-10-31,18:07:27,-07:00,2025-10-31T18:07:27-07:00,0,16
